ID|German_Text|German_StageDir
fef62174|Wir haben keine Zeit zu verlieren.|in ZS_GuidePlayer_Wait, wenn es wieder weiter geht weil Player nah genug an Guide
feedaac1|Berserker|
fedb6f5d|Warte, ich kümmer mich darum.|ich helfe einem Freund gegen einen Feind oder ein Monster
fedb6f5c|Ich helfe dir.|ich helfe einem Freund gegen einen Feind oder ein Monster
fedb6f5b|Ich stärke dir den Rücken.|ich helfe einem Freund gegen einen Feind oder ein Monster
fed9230a|Splittergranate|
fed26231|Vergehen: Von Doc hergestellte Stims ohne Gegenleistung entwendet und anschließend in großem Maße im Eigenkonsum aufgebraucht. Die Wiedergutmachung in Höhe von 100 Splittern ist bei der Familie des Dukes zu entrichten.\r\nW.\r\nPS: Wenn du krankes Schwein dich noch einmal ohne Klamotten in mein Bett legst, stehst du nie wieder auf.|
febc7309|Ikes Schuldschein|
feb3e1eb|Eine spezielle Lieferung|
fea81e54|Ein alter Zausel|
fea446b4|Eine versprengte Einheit|
fe94e5ce|So nicht!|Ärgernis wird angegriffen, Na Warte!
fe949b6c||
fe8972fa|Test MIsc Item|
fe85ce98|Sonnenbrille hightech|
fe80c0b2|Schimmeliges Brot|
fe68c03b|Alte Aufzeichnung einer geheimen Anweisung.|
fe68c03a|Alte Aufzeichnung mit Anweisung an einen Minister.|
fe68c039|Alte Aufzeichnung einer wütenden Menge.|
fe68c038|Aufzeichnung eines sehr alten Funkspruchs.|
fe63aa7e|Wir sehen uns.|Du bist mein Freund. Ich habe nix zu sagen
fe61a2ca|Angrims Männer, die den Nachschub für Sinda liefern sollten, sind tot. Ich sollte ihr davon berichten. |
fe59915d|Was schnüffelst du hier herum?|Spieler in meinem Raum, ich bin misstrauisch
fe59915c|Deine Taschen bleiben leer, klar?|Spieler in meinem Raum, ich bin misstrauisch
fe59915b|Was hast du vor?|Spieler in meinem Raum, ich bin misstrauisch
fe5710a4|Bewirkt eine Zeit lang eine höhere Widerstandsfähigkeit im Kampf.|
fe445fda|Alte Liste mit Lieferungen an das Militär der alten Welt.|
fe445fd9|Geheimes Schreiben zur Entlassung einiger Offiziere aus der alten Welt.|
fe445fd8|Kurzer Bericht zu einigen Waffentests aus der alten Welt.|
fe3ce210|Halt! Du wirst hier als Verbrecher gesucht. Melde dich umgehend bei William, wenn du nicht noch mehr Ärger willst.|
fe3cb403|Halt! Du wirst hier als Verbrecher gesucht. Melde dich umgehend bei Reinhold, wenn du nicht noch mehr Ärger willst.|
fe3ca28f|Halt! Du wirst hier als Verbrecher gesucht. Melde dich umgehend bei Ragnar, wenn du nicht noch mehr Ärger willst.|
fe3c914d|Halt! Du wirst hier als Verbrecher gesucht. Melde dich umgehend bei Alois, wenn du nicht noch mehr Ärger willst.|
fe388479|Thorald hält die Konverter für Werkzeuge des Bösen und besteht darauf, dass sie alle abgeschaltet werden.|
fe360c66|Das wirst du bereuen!|Spieler hat mich geschlagen, ich greife an
fe33767f|Angrim vermutet, dass der Kleriker sich der Technik am Schlund bemächtigen will. Es wäre daher ratsam, auf Nachtwache zu gehen, um ihn zu überführen.|
fe3033e5|Profil wechseln|
fe2e0c13|Vergehen: Während des Beischlafes mehrere Kunden geprellt und ihnen die Splitter gestohlen. 90 Splitter sind innerhalb eines Monats als Wiedergutmachung an die Familie des Dukes zu entrichten. \r\nBei Nichteinhaltung Bezahlung in Naturalien möglich.\r\nW.|
fe2dbf14|Lennart möchte seinen Bogen zurück. Er hat ihn bei der Jagd verloren.|
fe2b5947|Sinda erwartet Essensnachschub aus dem verbotenen Wald. Angrims Leute vom Eisen-Clan waren damit beauftragt, aber sie liefern aus irgendeinem Grund nicht mehr. Ich soll mit Angrim reden und fragen, was da los ist.|
fe2a316c|Alter Code stinkt nicht|
fe238881|Flankieren!|Kampfzuschauer, Gegner umkreisen sich
fe238880|Achte auf deine Deckung.|Kampfzuschauer, Gegner umkreisen sich
fe23887f|Greif an!|Kampfzuschauer, Gegner umkreisen sich
fe23887e|Na los!|Kampfzuschauer, Gegner umkreisen sich
fe19da93|Rays Steckbrief|
fe19bfda|Sei Vorsichtig damit okay?|Spieler hat gefährliche PSI. -ich bin vorsichtig.
fe10d5d8|Logan|
fe079baf|Ich zweifel an deinem Verstand.|Spieler macht Unfug (z.B. Tier schlagen, Freund einfrieren)
fe079bae|Geht's dir gut?|Spieler macht Unfug (z.B. Tier schlagen, Freund einfrieren)
fe079bad|Lass den Scheiß.|Spieler macht Unfug (z.B. Tier schlagen, Freund einfrieren)
fdffc9e2|Letzte Warnung, Waffe weg!|Zweite Warnung: Spieler soll Waffe wegstecken, verärgert
fdf5cd68|Mit der Waffe bist du besser vorsichtig.|Spieler hat Waffe, ich bin vorsichtig
fdf5910c|Unautorisierter Diebstahl|
fdf39257|Jax sollte die Menschen in eine Zukunft führen, die sich Dank der Zusammenarbeit mit dem Hybriden besserte, jedoch keineswegs sicher war.|
fdebb227|Anleitung Energiespeicher|
fde3732f|Hey! Was wird das denn?|Kampfzuschauer, unsicher, ob er mitkämpfen soll
fde3732e|Soll ich eingreifen?|Kampfzuschauer, unsicher, ob er mitkämpfen soll
fde3732d|Was machst du da?|Kampfzuschauer, unsicher, ob er mitkämpfen soll
fddf9d76|Damit spielt man nicht!|Spieler hat gefährliche PSI. -ich bin vorsichtig.
fdde27ff|Maus 5|
fdde27fe|Maus 4|
fddbe909|Tom|
fddbdec5|Ray|
fddbdec0|Rat|
fddbc97f|Max|
fddbc5b9|Leo|
fddbc1f1|Kid|
fddbb9b2|Ike|
fddbaa15|Eva|
fddba8d3|Eli|
fddba4ef|Doc|
fddba207|Cyr|
fddb98a4|Arx|
fddb96a2|Ace|
fdd3dd63|Kallax|
fdc73873|Was denkst du wird das hier?|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
fdc73872|Spinnst du jetzt völlig?|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
fdc73871|Was soll denn das werden?|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
fdc6a8e9|Kartenstück 16|
fdc6a8e8|Kartenstück 15|
fdc6a8e7|Kartenstück 14|
fdc6a8e6|Kartenstück 13|
fdc6a8e5|Kartenstück 12|
fdc6a8e4|Kartenstück 11|
fdc6a8e3|Kartenstück 10|
fdc6a8cb|Kartenstück 09|
fdc6a8ca|Kartenstück 08|
fdc6a8c9|Kartenstück 07|
fdc6a8c8|Kartenstück 06|
fdc6a8c7|Kartenstück 05|
fdc6a8c6|Kartenstück 04|
fdc6a8c5|Kartenstück 03|
fdc6a8c4|Kartenstück 02|
fdc6a8c3|Kartenstück 01|
fdc43689|Ein Mörder! Tötet ihn!|Mörder wird attackiert
fdb6b6a3|Orans Schuldenbuch. Wo er wohl die ganzen Sachen hat, die hier beschrieben stehen?|
fdb156d0||Werde von Starken Schlag getroffen. Im Stumble
fdb156cf||Werde von Starken Schlag getroffen. Im Stumble
fdb156ce||Werde von Starken Schlag getroffen. Im Stumble
fdb156cd||Werde von Starken Schlag getroffen. Im Stumble
fdb156cc||Werde von Starken Schlag getroffen. Im Stumble
fdb0f4d9|Drogs Truhe bietet genügend Platz für etwaiges Diebesgut.|
fd9e8874|Da will wer Ärger!|Ich greife an, warne Spieler
fd9e8873|Angriff!|Ich greife an, warne Spieler
fd9e8872|Ich übernehme das!|Ich greife an, warne Spieler
fd9e5fa8|Was hast du mit der Waffe vor?|Spieler hat Waffe, ich bin vorsichtig
fd9d2cdf|Schrapnellgeschosse|
fd9cea6c|Möchtest du wirklich an diese Stelle teleportieren?|
fd866910|Zardom|
fd865f28|Kann man noch mit essen.|
fd8555a8|Deine Grafikkarte erfüllt nicht die Mindestanforderungen.|
fd753751|Sie sollte mit ihrer nicht enden wollenden Energiequelle alle Menschen, denen diese Maschine je etwas bedeutet hat, auch noch die folgenden Jahrzehnte überleben.|
fd701b14|Schieß doch!|
fd65a7a2|Fotoalbum|
fd646dcd|Liebe Lucy|
fd63f3f0|Simon|
fd5ea8e6|Nach eingehender Prüfung wurde Ihre Mission als gescheitert eingestuft.\r\nSofortiger Rückzug zum Hort und dort unverzüglich Meldung machen.|
fd5ad7c3|Stim|
fd5ab287|Dieser meisterliche Flammenwerfer verbrennt sogar auf molekularer Ebene.|
fd5ab286|Dieser überlegene Flammenwerfer brennt sich auf Dauer sogar durch Panzerung und Schilde.|
fd5ab285|Verbesserter Hochleistungsflammenwerfer der Kleriker.|
fd582df7|Du bist in Ordnung.|Du bist mein Freund. Ich habe nix zu sagen
fd4ca2d8|Du bist hier nicht erwünscht.|erste Warnung, vertreibt Einringling, open air (Nicht in einer AIZone)
fd48c9fd|Das hast du davon.|Feind wurde getötet. Nach dem Kampf. (NPC und Mpnster)
fd48c9fc|Jetzt bist du endlich still.|Feind wurde getötet. Nach dem Kampf. (NPC und Monster)
fd48c9fb|Na bitte, geht doch.|Feind wurde getötet. Nach dem Kampf. (NPC und Monster)
fd44e90e|Schluss jetzt! |Ärgernis wird angegriffen, Na Warte!
fd43c2f0|Das kann ich nicht mehr tragen.|Player wird plötzlich nicht mehr gut genug um die Waffe zu halten.
fd3aa745|Verbesserte Giftmetallschwinge der Berserker. Ein prächtiges Übungsstück für einen Lehrling.|
fd321ec7|Kallax|
fd2f72df|Drecksvieh.|Kampf beobachtet. Monster hat verloren.
fd2f72de|Wo kommen die nur immer her?|Kampf beobachtet. Monster hat verloren.
fd2f72dd|Die Biester gehören ausgerottet.|Kampf beobachtet. Monster hat verloren.
fd289fba|C.R.O.N.Y. U4|
fd247aba|Diese schwere Rüstung tragen die Erz-Berserker.|
fd106a87|Gesetz der Maschinen|
fd0f3731|Schwer zu beschaffen|
fd094bb5|Die präziseste Distanz-Energiewaffe dieser Baureihe.|
fd094bb4|Grundausstattung bei Patrouillen und Beseitigungseinsätzen.|
fd094bb3|Lasergewehr der Kleriker. Fokussiert Energie, um zu töten - genau wie die Kleriker.|
fcfacf1b|Versuch das ja nicht nochmal!|Spieler verschwindet aus Haus oder entfernt sich mit gefährlicher Waffe
fcfa48c3|Steck es ein hab ich gesagt!|Zweite Warnung. Nimm die PSI kraft weg
fcf467a6|Ist noch nicht verrostet.|
fcf31216|Marge|
fcf2ee83|Bekehrer III|
fcf2ee82|Bekehrer II|
fcf2ee81|Bekehrer I|
fcf1c9a8|Tab|
fcf18b88|Ende|
fcf1793a|+|
fcf15d41|Na warte!|Ärgernis wird angegriffen, Na Warte!
fce8ca8f|Das hat er verdient.|Kampf beobachtet, NPC ist pro Sieger
fce8ca8e|Sehr schön.|Kampf beobachtet, NPC ist pro Sieger
fce8ca8d|Gut so!|Kampf beobachtet, NPC ist pro Sieger
fce1b253||
fce13669|Outlaw Klamottenbündel|
fcdd1692|Arx|
fcdc0b85|Natürlich.|Alles klar/Mach ich
fcdc0b84|Okay.|Alles klar/Mach ich
fcdc0b83|Ja.|Alles klar/Mach ich
fcd26dfb|Der hast du es gezeigt.|Kampf beobachtet. Unterlegene ist eie Frau. NPC ist pro Sieger
fcd26dfa|Schon vorbei?|Kampf beobachtet. Unterlegene ist eie Frau. NPC ist pro Sieger
fcd26df9|Die war kein Gegner.|Kampf beobachtet. Unterlegene ist eie Frau. NPC ist pro Sieger
fcd123e7|Kevin|
fccfbb09|Sehr alte Liste mit Dingen zum Überleben aus der alten Welt.|
fccbe04a|Grimar ist ein Häscher, ich sollte ihn erledigen. |
fcc8ae9d|„Gefühlschaos“ abgeschlossen.|
fcc5948c|In der Arena ist die Hölle los! |
fcc07b5f||Angriffsgeräusche. Schnaufen, Ächzen etc. Schwere Attacke
fcc07b5e||Angriffsgeräusche. Schnaufen, Ächzen etc. Schwere Attacke
fcc07b5d||Angriffsgeräusche. Schnaufen, Ächzen etc. Schwere Attacke
fcc07b5c||Angriffsgeräusche. Schnaufen, Ächzen etc. Schwere Attacke
fcc07b5b||Angriffsgeräusche. Schnaufen, Ächzen etc. Schwere Attacke
fcbbfe03|Hör mit der Zauberei auf!|zweite Warnung: Spieler soll Zauber wegstecken
fcb79d10|Player: There he is. I recognize his face.|
fcb0044c|Überlegenes Feuerkriegerschwert der Berserker. Verursacht schwere Verbrennungen.|
fcae1654|Grindills Tagebuch|
fca96dd1|Abessa sollte für Alois anfänglich nur etwas Abwechslung vom Leben in Ignadon bieten. Doch leitete er die Kuppelstadt, die im Volksmund auch das Relikt genannt wurde, über sehr viele Jahre.|
fca573cd|Hey! Achtung!|Freund, Feigling oder Kampfzuschauer wurde getroffen
fc9caf45|Wenn du mich ohne Grund geweckt hast dann... Was willst du?|in ZS_Talk einleitend falls zuvor AIMode Sleep und keine Important/News/Refuse ("Maaan. weißt du eigentlich wie spät es ist?")
fc9b3496|Öffnet eine Kiste in der alten Hofruine östlich der Kuppelstadt.|
fc99fa5f|Darrell|
fc973a9f|Ich bin kein Futter!|zweite Reaktion, Feigling wird von Monster bedroht
fc920b9f|Ich muss wohl deutlicher werden!|Spieler hat nicht auf Warnung gehört, wird angegriffen
fc908250|Alter Arbeitsbericht eines Oberarztes.|
fc90824f|Alter Arbeitsbericht eines Oberarztes.|
fc90824e|Alter Arbeitsbericht eines Laborleiters.|
fc90824d|Alter Arbeitsbericht eines Technikers.|
fc90824c|Alter Arbeitsbericht eines Botanikers.|
fc884839|Abgewandelte Version des Granatwerfers. Feuert unterschiedliche Arten von Granaten über eine längere Distanz.|
fc8431f1|Mad Bob bestehlen|
fc6b089b|Aaahhh...|erhebt sich schwerfällig nach K.O.
fc602290|Mein Vermächtnis|
fc5f8586||
fc5010e4|Daisy|
fc4d30e8||
fc3c7dcc|Handel zurücksetzen|
fc258335|Unterirdisches Elex-Vorkommen|
fc258334|Weltenherz|
fc234fc0|Arvid|
fc158f08|Ich wurde gekündigt. Nicht überraschend. Aber meine Kapsel ist fertig und damit ist es mir egal, was aus dem Calaan Projekt (Sie haben sich endlich auf einen Namen geeinigt) wird. Ich werde untertauchen müssen und mich an unterschiedlichen Orten verstecken. Ich habe mir mächtige Feinde gemacht. Sie werden versuchen, mich stillschweigend zu beseitigen. Ich weiß zu viel über das Calaan Projekt.\r\nIch habe für diesen Fall vorgesorgt. Meine Rettung ist sichergestellt. Die Menschheit muss jetzt alleine zurechtkommen.\r\nDie verblendeten Fanatiker der Infinite Skies werden auf jeden Fall alle sterben. Ihre Chancen zu überleben haben sie selbst gleich null gesetzt.\r\nJetzt wird es erst recht schwierig werden, wenn die gesamte Weltbevölkerung weiß, dass es eine mögliche Rettung gibt. Ich werde mich einfach zurücklehnen, den Countdown zählen und zusehen, wie sie sich gegenseitig zerfleischen. |
fc10f083|Jemand scheint seinen Frust niedergeschrieben zu haben.|
fc0b9ec0|Outlaw|
fc0b9ebf|Outlaw|
fc0b7580|Berühmte letzte Worte|
fc0ac338|Gibt die aktuelle Situation des Außenpostens der Kleriker wieder.|
fc09a9b1|Mad Bob hat ein paar Zeilen verfasst.|
fbf65b27|Dualhammer III|
fbf65b26|Dualhammer II|
fbf65b25|Dualhammer I|
fbf3f3d5|Erik Eisenfausts große Taten|
fbf14810|Ring der Feuerresistenz|
fbee5bc5|Ich will mit Dieben nichts zu tun haben.|Mit Dieben rede ich nicht. Für Händler
fbe9468f|Oran wird den Hammer-Clan nicht ohne Weiteres wieder bewirten. Ich sollte ihn davon überzeugen das, dass eine schlechte Idee ist. |
fbe7bf21|Da ist ja doch was zu holen!|
fbcf7237|Abspielen|
fbc475a7|Maus 2|
fbbdfaed|Machst du immer so einen Mist?|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
fbbdfaec|Dafür verschwendest du deine Zeit?|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
fbbdfaeb|Du hast Nerven.|Spieler begeht kleinen Diebstahl oder macht Unsinn (zb. an Truhe gehen aber nichts nehmen.)
fbbdf998|Was veranstaltest du da?|Kampfzuschauer, unsicher, ob er mitkämpfen soll
fbbdf997|Muss ich etwa helfen?|Kampfzuschauer, unsicher, ob er mitkämpfen soll
fbbdf996|Soll ich eingreifen?|Kampfzuschauer, unsicher, ob er mitkämpfen soll
fbbaf903|Das wirst du bereuen!|Mörder wird attackiert
fbb582a6|Nahkampf|
fba723c5|Überlegener Reflektor-Reaper der Outlaws. Ein sicherer Begleiter für einsame Wüstennächte.|
fb9ac60a|Deine PSI Kräfte können dir Ärger einhandeln, klar?|Spieler hat gefährliche PSI. -ich bin vorsichtig.
fb9a01cb|Niemand mag Diebe|
fb86f6bd|Wenn du nicht gleich verschwunden bist...!|zweite Warnung, vertreibt Einringling, open air
fb7b4854|Eines weniger...|Kampf beobachtet. Monster hat verloren.
fb7b4853|Das wars mit dem Biest.|Kampf beobachtet. Monster hat verloren.
fb7b4852|Scheißvieh.|Kampf beobachtet. Monster hat verloren.
fb744c82|Meisterlicher Fäustel der Outlaws. Strahlende Grüße aus dem Herzen des Reaktors.|
fb726677|Ike wird sich zur Arena begeben.|
fb6b95f9|Franz|
fb68327c|Amulett des Kämpfers|
fb628ed1|Ulfar meinte, dass ich nordöstlich von seiner Behausung nach Cyr sehen sollte.|
fb623401|Überlegener Fäustel der Outlaws. Wurden hier Teile von Reaktoren verbaut?|
fb61c98a|Mitarbeiter|
fb5ff81b|„Gestohlene Gerätschaften“ abgeschlossen.|
fb5518d9|Uahh... Ich hoffe es ist wichtig...|in ZS_Talk einleitend falls zuvor AIMode Sleep und keine Important/News/Refuse ("Maaan. weißt du eigentlich wie spät es ist?")
fb518ef3|Sei froh das du noch lebst. Jetzt mach das du weg kommst!|vertreibt Einringling, open air, Spieler rappelt sich gerade auf
fb501b80|Verbesserter Fäustel der Outlaws. Hinterlässt leichte Strahlungsschäden.|
fb4af4f4|Alpha To Coverage|
fb4a695c|Das hätte ins Auge gehen können.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
fb4a695b|Zähes Biest.|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
fb4a695a|Verflucht knapp!|Sieger in einem Kampf gegen ein Monster hat mit weniger als 50% Lebenspunkten (Ist verwundet) den Kampf gewonnen und ich kommentiuere den Kampf.
fb496905|Das musste ja schiefgehen.|Verständliches Gemurmel im Hintergrund
fb496904|Wenn das alles ist...|Verständliches Gemurmel im Hintergrund
fb496903|Manche Dinge brauchen Zeit.|Verständliches Gemurmel im Hintergrund
fb496902|Wie auch immer.|Verständliches Gemurmel im Hintergrund
fb496901|Man muss sich nicht immer rechtfertigen.|Verständliches Gemurmel im Hintergrund
fb496900|Da bin ich anderer Meinung.|Verständliches Gemurmel im Hintergrund
fb4968ff|Ich wäre die Sache anders angegangen.|Verständliches Gemurmel im Hintergrund
fb4968fe|Das kann man sehen wie man will.|Verständliches Gemurmel im Hintergrund
fb4968fd|Was hat er sich nur dabei gedacht?|Verständliches Gemurmel im Hintergrund
fb4968fc|Ah ja?|Verständliches Gemurmel im Hintergrund
fb42272b|Wir reden später okay?|Du bist mein Freund. Ich habe nix zu sagen
fb28b176|Mistvieh, verzieh dich!|zweite Reaktion, Feigling wird von Monster bedroht
fb245dbe|Kopfgeldjäger aus Ignadon|
fb200eb0|Nachdem ihre Systeme wiederhergestellt wurden, leistete diese legendäre Drohne an der Seite ihres Herren noch sehr lange ihre Dienste.|
fb1e22b7|Eckard ist ein harter Hund, aber ich schätze, er hätte nichts dagegen, wenn ich im Lager der Mitte mein Quartier einrichte. |
fb0c587d|In diesen Spalter der Berserker kann man zusätzlich einen Stein einsetzen.|
fafd7eee|Ich bin beeindruckt.|NPC beobachtet das Monster oder NPC besiegt wurde und findet dies gut. ("Nicht schlecht!")
fafd7eed|Nicht schlecht!|NPC beobachtet das Monster oder NPC besiegt wurde und findet dies gut. ("Nicht schlecht!")
faf0fac7|Auch wenn ich meine Erkenntnisse nicht an die Öffentlichkeit tragen darf, wäre es ein Verbrechen, mein Wissen nicht niederzuschreiben. Das, was meine Kollegen und ich in den letzten Monaten alles herausgefunden haben, ist ein gewaltiger Schritt in der Forschung. Ich habe nie Fragen gestellt. Woher das ganze Geld seit Monaten kommt, weiß ich nicht. Es interessiert mich auch nicht, auf was wir uns eigentlich vorbereiten. Aber mit dem Geld haben wir riesige Forschungszentren aus dem Boden stampfen könne. Alles ist hochmodern und streng bewacht. Ich blicke mit Stolz auf meine Arbeit, weil ich an etwas sehr großem mitwirke.\r\nDas wichtigste sind unsere Treibhäuser:\r\nSie sind ausgestattet mit einem eigenen Klimasystem. Durch Schleusen haben wir sie vollständig von äußeren Einflüssen abgeschottet. Wir bestimmen komplett, welche Einflüsse auf die Pflanzen darin einwirken. Wir können sie beliebiger Strahlung aussetzen, eine komplett andere Atmosphäre aufbauen und die Temperatur regeln.\r\nWir haben viele neue Arten herangezüchtet. Einige sind in der normalen Erdatmosphäre gar nicht überlebensfähig. Aber sie bieten eine neue Pflanzenvielfalt, die unter widrigsten Bedingungen das Überleben sichern kann.|
fae9990e|Hab vorhin schon wieder diese Viecher gehört. Die Stadt schickt niemanden. Denen sind wir scheißegal.\r\nIch gehe jetzt selber raus und kümmere mich um das Ungeziefer. Wenn du in der Zwischenzeit zurückkommst und mich suchst, dann findest du mich bei dem eingestürzten Tunnel. Ich werde den Rest unserer Minen nehmen und die Straße dort verminen. Die Viecher mach ich fertig.\r\nBin gleich zurück. |
fae3bfaa|Nyra ist der Meinung, dass die Kleriker ihre Arbeit zwar gut machen, aber ihre Logik zu wünschen übrig lässt. Sie sagt, dass sie es lieber sehen würde, wenn die Stadt von den Albs beherrscht würde.|
fae18581|Bertram hat Wind davon bekommen, dass ich die Waffen der toten Kleriker aufgesammelt habe. Er möchte, dass ich sie ihm und nicht Jora überlasse.|
fadf237d||ich werde bewusstlos durch einen Treffer
fadef613||ich sterbe durch einen Treffer
fad8818a|Wühler|
fad0fe90|Feuerfaust|
fad017e5|War da was?|Schlafender NPC wechselt in Observe oder Threaten und sagt dann einleitend diese SVM (z.B. verschlafen "Ehh ... wer ist denn da.", "War da was?").
fac9b07e|Sie entwickelte sich immer mehr zum Elex-Überwesen und erhielt dadurch unvorstellbar große Macht.|
fac698b1|Diese Nachricht ist für alle, die den Außenposten der Kleriker suchen. Wir lassen sie hier zurück, da unser Funk momentan nicht reibungslos verläuft. Aufgrund der andauernden Gefahr durch plündernde Banditen in dieser Gegend haben wir uns auf die Südseite, oberhalb des Dammes, zurückgezogen. Sucht uns dort.\r\nGez.\r\nAlbert\r\nPS: Wer hat sich eigentlich gedacht, dass es eine gute Idee wäre, ausgerechnet bei DIESER MISSION UNTERHALB des Dammes Position zu beziehen?\r\n|
fac2156a|Am Ende entschied Ray, sein Leben aus reinster Menschlichkeit und Ehrgefühl für die freien Menschen zu opfern. Rays Geschichte sollte man sich in Magalan noch sehr lange erzählen.|
faba4645|Anleitung Lebenssaft|
fab7e343|Schlag ihr den Schädel ein!|
faae0fa2|Ich rede nicht mit Verbrechern.|Mit Schlägern rede ich nicht. Für Händler
faa73dec|Eine kurze Nachricht an die Relaisstation im Osten zu Ersatzteilen.|
fa98ac4f|Ich merke sofort wenn hier was fehlt.|Spieler in meinem Raum, ich bin misstrauisch
fa98ac4e|Suchst du was bestimmtes?|Spieler in meinem Raum, ich bin misstrauisch
fa98ac4d|Kann ich dir helfen?|Spieler in meinem Raum, ich bin misstrauisch
fa988d99|Rezept Apfelschnaps|
